,Shipment,Must_TSS,Must_pH,Must_TA,Vineyard,Elevation,Growing.Degree.Days,Precipitation.growing,Latitude,Harvest.date,Sub_AVA,Soil_order,Sol_taxonomic_subgroup,Soil_texture,Soil_temperature_class,Year,Diversity,AVA,value,meanval,mean_sep_val,mean_sep_y
14,AV1_2016,22.85,3.7275,4.2825,AV1,479,1631,59.69799805,39.0179608,9/6/16,Mendocino,Alfisols,Ultic Haploxeralfs,fine-loamy,Thermic,2016,Exp. Shannon,Mendocino,1.609049482,3.2351941,a,2.209049482
2,AS1_2016,22.725,3.48,6.095,AS1,127,1454,11.51099992,36.34518808,8/25/16,Arroyo Seco,Mollisols,Typic Argixerolls,fine-loamy,Thermic,2016,Exp. Shannon,Monterey,1.567989407,3.2351941,c,2.167989407
8,AS2_2016,22.525,3.54,5.5125,AS2,180,1680,11.51400018,36.35431348,8/25/16,Arroyo Seco,Mollisols,Typic Argixerolls,fine-loamy,Thermic,2016,Exp. Shannon,Monterey,1.515521158,3.2351941,,2.115521158
80,SRH1_2016,24.175,3.4925,5.56,SRH1,159,1437,18.53800058,34.60883107,9/8/16,Santa Rita Hills,Mollisols,Pachic Ultic Haploxerolls,clayey-skeletal,Thermic,2016,Exp. Shannon,Santa Barbara,3.537942931,3.2351941,abc,4.137942931
62,SMV2_2016,25.275,3.645,4.6375,SMV2,150,1646,18.4920001,34.88541101,9/8/16,Santa Maria Valley,Mollisols,Cumulic Haploxerolls,coarse-loamy,Thermic,2016,Exp. Shannon,Santa Barbara,3.160760903,3.2351941,,3.760760903
56,SMV1_2016,23.625,3.6175,4.7375,SMV1,203,1545,20.75,34.86328801,9/8/16,Santa Maria Valley,Alfisols,Mollic Haploxeralfs,fine-loamy,Thermic,2016,Exp. Shannon,Santa Barbara,2.983429102,3.2351941,,3.583429102
23,CRN1_2016,23.475,3.5475,4.41,CRN1,13,1400,28.49300104,38.22539588,9/6/16,Los Carneros,Vertisols,Chromic Pelloxererts,fine,Thermic,2016,Exp. Shannon,Sonoma,4.917290213,3.2351941,b,5.517290213
68,SNC1_2016,24.4,3.525,4.3875,SNC1,203,1582,60.00999928,38.67871839,9/10/16,Sonoma Coast,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2016,Exp. Shannon,Sonoma,3.952471568,3.2351941,,4.552471568
50,RRV3_2016,24.425,3.4625,5.7725,RRV3,56,1400,54.69600023,38.3440408,9/14/16,Russian River Valley,Ultisols,Fluvaquentic Haploxerolls,fine-loamy,Isomesic,2016,Exp. Shannon,Sonoma,3.871045271,3.2351941,,4.471045271
38,RRV1_2016,25.475,3.4675,4.7625,RRV1,38,1576,52.29400009,38.45112809,9/8/16,Russian River Valley,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2016,Exp. Shannon,Sonoma,3.853369929,3.2351941,,4.453369929
44,RRV2_2016,24.95,3.625,3.83,RRV2,167,1556,62.83000112,38.43342304,9/8/16,Russian River Valley,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2016,Exp. Shannon,Sonoma,3.81995033,3.2351941,,4.41995033
74,SNC2_2016,23.525,3.4625,4.6325,SNC2,63,1498,36.87699986,38.23837937,8/31/16,Sonoma,Vertisols,Aridic Haploxererts,fine,Thermic,2016,Exp. Shannon,Sonoma,2.976605539,3.2351941,,3.576605539
29,OR1_2016,24.95,3.62,4.39,OR1,94,1335,175.855999,45.2940985,9/16/16,Yamhill-Carlton,Alfisols,Ultic Haploxeralfs,fine,Mesic,2016,Exp. Shannon,Willamette Valley,4.292097466,3.2351941,ab,4.892097466
20,AV2_2017,23.575,3.8225,4.235,AV2,86,1422,143.4100013,39.13601028,9/25/17,Mendocino,Alfisols,Ultic Haploxeralfs,fine-loamy,Thermic,2017,Exp. Shannon,Mendocino,2.561254017,3.084071509,a,3.161254017
17,AV1_2017,23.35,3.6075,4.595,AV1,479,1711,144.5590001,39.0179608,9/12/17,Mendocino,Alfisols,Ultic Haploxeralfs,fine-loamy,Thermic,2017,Exp. Shannon,Mendocino,2.41007411,3.084071509,,3.01007411
11,AS2_2017,22.975,3.61,5.26,AS2,180,1846,27.7480008,36.35431348,8/30/17,Arroyo Seco,Mollisols,Typic Argixerolls,fine-loamy,Thermic,2017,Exp. Shannon,Monterey,4.99724075,3.084071509,b,5.59724075
5,AS1_2017,23.15,3.585,6.0225,AS1,127,1684,20.8210007,36.34518808,8/30/17,Arroyo Seco,Mollisols,Typic Argixerolls,fine-loamy,Thermic,2017,Exp. Shannon,Monterey,4.467693151,3.084071509,,5.067693151
65,SMV2_2017,23.175,3.6125,4.9425,SMV2,150,1821,47.49800014,34.88541101,9/4/17,Santa Maria Valley,Mollisols,Cumulic Haploxerolls,coarse-loamy,Thermic,2017,Exp. Shannon,Santa Barbara,3.23893997,3.084071509,a,3.83893997
59,SMV1_2017,23.775,3.7075,5.165,SMV1,203,1705,52.10199928,34.86328801,9/4/17,Santa Maria Valley,Alfisols,Mollic Haploxeralfs,fine-loamy,Thermic,2017,Exp. Shannon,Santa Barbara,3.189876023,3.084071509,,3.789876023
83,SRH1_2017,22.55,3.5975,5.125,SRH1,159,1589,34.65800095,34.60883107,9/8/17,Santa Rita Hills,Mollisols,Pachic Ultic Haploxerolls,clayey-skeletal,Thermic,2017,Exp. Shannon,Santa Barbara,1.895941785,3.084071509,,2.495941785
53,RRV3_2017,22.3,3.5175,4.8175,RRV3,56,1497,131.7949996,38.3440408,9/13/17,Russian River Valley,Ultisols,Fluvaquentic Haploxerolls,fine-loamy,Isomesic,2017,Exp. Shannon,Sonoma,3.767744288,3.084071509,a,4.367744288
47,RRV2_2017,26.8,3.6375,3.7,RRV2,167,1681,166.8640036,38.43342304,9/5/17,Russian River Valley,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2017,Exp. Shannon,Sonoma,3.392290836,3.084071509,,3.992290836
77,SNC2_2017,23.425,3.4275,5.5175,SNC2,63,1617,81.26300049,38.23837937,8/31/17,Sonoma,Vertisols,Aridic Haploxererts,fine,Thermic,2017,Exp. Shannon,Sonoma,3.225031365,3.084071509,,3.825031365
41,RRV1_2017,25.175,3.5525,4.13,RRV1,38,1707,165.0179932,38.45112809,9/6/17,Russian River Valley,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2017,Exp. Shannon,Sonoma,2.219132846,3.084071509,,2.819132846
71,SNC1_2017,26.45,3.5925,4.1925,SNC1,203,1670,156.6319936,38.67871839,9/6/17,Sonoma Coast,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2017,Exp. Shannon,Sonoma,1.782211348,3.084071509,,2.382211348
26,CRN1_2017,25.2,3.725,4.9425,CRN1,13,1472,76.67000282,38.22539588,8/31/17,Los Carneros,Vertisols,Chromic Pelloxererts,fine,Thermic,2017,Exp. Shannon,Sonoma,1.539487442,3.084071509,,2.139487442
32,OR1_2017,23.325,3.6025,4.7175,OR1,94,1297,284.7319956,45.2940985,10/4/17,Yamhill-Carlton,Alfisols,Ultic Haploxeralfs,fine,Mesic,2017,Exp. Shannon,Willamette Valley,3.812710583,3.084071509,ab,4.412710583
35,OR2_2017,24.175,3.4525,4.9525,OR2,134,1245,262.4350047,45.02917405,10/4/17,Eola-Amity Hills,Mollisols,Aquultic Haplexerolls,very-fine,Mesic,2017,Exp. Shannon,Willamette Valley,3.761444119,3.084071509,,4.361444119
15,AV1_2016,22.85,3.7275,4.2825,AV1,479,1631,59.69799805,39.0179608,9/6/16,Mendocino,Alfisols,Ultic Haploxeralfs,fine-loamy,Thermic,2016,Inverse Simpson,Mendocino,1.183107128,2.435128161,ab,1.783107128
9,AS2_2016,22.525,3.54,5.5125,AS2,180,1680,11.51400018,36.35431348,8/25/16,Arroyo Seco,Mollisols,Typic Argixerolls,fine-loamy,Thermic,2016,Inverse Simpson,Monterey,1.224615033,2.435128161,b,1.824615033
3,AS1_2016,22.725,3.48,6.095,AS1,127,1454,11.51099992,36.34518808,8/25/16,Arroyo Seco,Mollisols,Typic Argixerolls,fine-loamy,Thermic,2016,Inverse Simpson,Monterey,1.197301729,2.435128161,,1.797301729
81,SRH1_2016,24.175,3.4925,5.56,SRH1,159,1437,18.53800058,34.60883107,9/8/16,Santa Rita Hills,Mollisols,Pachic Ultic Haploxerolls,clayey-skeletal,Thermic,2016,Inverse Simpson,Santa Barbara,2.775654354,2.435128161,ab,3.375654354
63,SMV2_2016,25.275,3.645,4.6375,SMV2,150,1646,18.4920001,34.88541101,9/8/16,Santa Maria Valley,Mollisols,Cumulic Haploxerolls,coarse-loamy,Thermic,2016,Inverse Simpson,Santa Barbara,2.709390035,2.435128161,,3.309390035
57,SMV1_2016,23.625,3.6175,4.7375,SMV1,203,1545,20.75,34.86328801,9/8/16,Santa Maria Valley,Alfisols,Mollic Haploxeralfs,fine-loamy,Thermic,2016,Inverse Simpson,Santa Barbara,2.48952299,2.435128161,,3.08952299
24,CRN1_2016,23.475,3.5475,4.41,CRN1,13,1400,28.49300104,38.22539588,9/6/16,Los Carneros,Vertisols,Chromic Pelloxererts,fine,Thermic,2016,Inverse Simpson,Sonoma,4.247086525,2.435128161,a,4.847086525
51,RRV3_2016,24.425,3.4625,5.7725,RRV3,56,1400,54.69600023,38.3440408,9/14/16,Russian River Valley,Ultisols,Fluvaquentic Haploxerolls,fine-loamy,Isomesic,2016,Inverse Simpson,Sonoma,3.004318844,2.435128161,,3.604318844
39,RRV1_2016,25.475,3.4675,4.7625,RRV1,38,1576,52.29400009,38.45112809,9/8/16,Russian River Valley,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2016,Inverse Simpson,Sonoma,2.629858534,2.435128161,,3.229858534
69,SNC1_2016,24.4,3.525,4.3875,SNC1,203,1582,60.00999928,38.67871839,9/10/16,Sonoma Coast,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2016,Inverse Simpson,Sonoma,2.627217956,2.435128161,,3.227217956
45,RRV2_2016,24.95,3.625,3.83,RRV2,167,1556,62.83000112,38.43342304,9/8/16,Russian River Valley,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2016,Inverse Simpson,Sonoma,2.555117086,2.435128161,,3.155117086
75,SNC2_2016,23.525,3.4625,4.6325,SNC2,63,1498,36.87699986,38.23837937,8/31/16,Sonoma,Vertisols,Aridic Haploxererts,fine,Thermic,2016,Inverse Simpson,Sonoma,2.193135033,2.435128161,,2.793135033
30,OR1_2016,24.95,3.62,4.39,OR1,94,1335,175.855999,45.2940985,9/16/16,Yamhill-Carlton,Alfisols,Ultic Haploxeralfs,fine,Mesic,2016,Inverse Simpson,Willamette Valley,2.820340845,2.435128161,ab,3.420340845
18,AV1_2017,23.35,3.6075,4.595,AV1,479,1711,144.5590001,39.0179608,9/12/17,Mendocino,Alfisols,Ultic Haploxeralfs,fine-loamy,Thermic,2017,Inverse Simpson,Mendocino,1.736153351,2.341475708,ac,2.336153351
21,AV2_2017,23.575,3.8225,4.235,AV2,86,1422,143.4100013,39.13601028,9/25/17,Mendocino,Alfisols,Ultic Haploxeralfs,fine-loamy,Thermic,2017,Inverse Simpson,Mendocino,1.518895753,2.341475708,,2.118895753
12,AS2_2017,22.975,3.61,5.26,AS2,180,1846,27.7480008,36.35431348,8/30/17,Arroyo Seco,Mollisols,Typic Argixerolls,fine-loamy,Thermic,2017,Inverse Simpson,Monterey,4.199409237,2.341475708,b,4.799409237
6,AS1_2017,23.15,3.585,6.0225,AS1,127,1684,20.8210007,36.34518808,8/30/17,Arroyo Seco,Mollisols,Typic Argixerolls,fine-loamy,Thermic,2017,Inverse Simpson,Monterey,3.635816637,2.341475708,,4.235816637
60,SMV1_2017,23.775,3.7075,5.165,SMV1,203,1705,52.10199928,34.86328801,9/4/17,Santa Maria Valley,Alfisols,Mollic Haploxeralfs,fine-loamy,Thermic,2017,Inverse Simpson,Santa Barbara,2.913086603,2.341475708,abc,3.513086603
66,SMV2_2017,23.175,3.6125,4.9425,SMV2,150,1821,47.49800014,34.88541101,9/4/17,Santa Maria Valley,Mollisols,Cumulic Haploxerolls,coarse-loamy,Thermic,2017,Inverse Simpson,Santa Barbara,2.89696301,2.341475708,,3.49696301
84,SRH1_2017,22.55,3.5975,5.125,SRH1,159,1589,34.65800095,34.60883107,9/8/17,Santa Rita Hills,Mollisols,Pachic Ultic Haploxerolls,clayey-skeletal,Thermic,2017,Inverse Simpson,Santa Barbara,1.27267305,2.341475708,,1.87267305
54,RRV3_2017,22.3,3.5175,4.8175,RRV3,56,1497,131.7949996,38.3440408,9/13/17,Russian River Valley,Ultisols,Fluvaquentic Haploxerolls,fine-loamy,Isomesic,2017,Inverse Simpson,Sonoma,2.619058306,2.341475708,c,3.219058306
78,SNC2_2017,23.425,3.4275,5.5175,SNC2,63,1617,81.26300049,38.23837937,8/31/17,Sonoma,Vertisols,Aridic Haploxererts,fine,Thermic,2017,Inverse Simpson,Sonoma,2.345152823,2.341475708,,2.945152823
48,RRV2_2017,26.8,3.6375,3.7,RRV2,167,1681,166.8640036,38.43342304,9/5/17,Russian River Valley,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2017,Inverse Simpson,Sonoma,2.254935011,2.341475708,,2.854935011
42,RRV1_2017,25.175,3.5525,4.13,RRV1,38,1707,165.0179932,38.45112809,9/6/17,Russian River Valley,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2017,Inverse Simpson,Sonoma,1.345207549,2.341475708,,1.945207549
72,SNC1_2017,26.45,3.5925,4.1925,SNC1,203,1670,156.6319936,38.67871839,9/6/17,Sonoma Coast,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2017,Inverse Simpson,Sonoma,1.222951242,2.341475708,,1.822951242
27,CRN1_2017,25.2,3.725,4.9425,CRN1,13,1472,76.67000282,38.22539588,8/31/17,Los Carneros,Vertisols,Chromic Pelloxererts,fine,Thermic,2017,Inverse Simpson,Sonoma,1.150968934,2.341475708,,1.750968934
33,OR1_2017,23.325,3.6025,4.7175,OR1,94,1297,284.7319956,45.2940985,10/4/17,Yamhill-Carlton,Alfisols,Ultic Haploxeralfs,fine,Mesic,2017,Inverse Simpson,Willamette Valley,3.169479965,2.341475708,abc,3.769479965
36,OR2_2017,24.175,3.4525,4.9525,OR2,134,1245,262.4350047,45.02917405,10/4/17,Eola-Amity Hills,Mollisols,Aquultic Haplexerolls,very-fine,Mesic,2017,Inverse Simpson,Willamette Valley,2.841384149,2.341475708,,3.441384149
13,AV1_2016,22.85,3.7275,4.2825,AV1,479,1631,59.69799805,39.0179608,9/6/16,Mendocino,Alfisols,Ultic Haploxeralfs,fine-loamy,Thermic,2016,Richness,Mendocino,55,81.38461538,ab,80
7,AS2_2016,22.525,3.54,5.5125,AS2,180,1680,11.51400018,36.35431348,8/25/16,Arroyo Seco,Mollisols,Typic Argixerolls,fine-loamy,Thermic,2016,Richness,Monterey,54,81.38461538,a,79
1,AS1_2016,22.725,3.48,6.095,AS1,127,1454,11.51099992,36.34518808,8/25/16,Arroyo Seco,Mollisols,Typic Argixerolls,fine-loamy,Thermic,2016,Richness,Monterey,53,81.38461538,,78
79,SRH1_2016,24.175,3.4925,5.56,SRH1,159,1437,18.53800058,34.60883107,9/8/16,Santa Rita Hills,Mollisols,Pachic Ultic Haploxerolls,clayey-skeletal,Thermic,2016,Richness,Santa Barbara,71,81.38461538,a,96
61,SMV2_2016,25.275,3.645,4.6375,SMV2,150,1646,18.4920001,34.88541101,9/8/16,Santa Maria Valley,Mollisols,Cumulic Haploxerolls,coarse-loamy,Thermic,2016,Richness,Santa Barbara,61,81.38461538,,86
55,SMV1_2016,23.625,3.6175,4.7375,SMV1,203,1545,20.75,34.86328801,9/8/16,Santa Maria Valley,Alfisols,Mollic Haploxeralfs,fine-loamy,Thermic,2016,Richness,Santa Barbara,57,81.38461538,,82
67,SNC1_2016,24.4,3.525,4.3875,SNC1,203,1582,60.00999928,38.67871839,9/10/16,Sonoma Coast,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2016,Richness,Sonoma,110,81.38461538,b,135
43,RRV2_2016,24.95,3.625,3.83,RRV2,167,1556,62.83000112,38.43342304,9/8/16,Russian River Valley,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2016,Richness,Sonoma,107,81.38461538,,132
37,RRV1_2016,25.475,3.4675,4.7625,RRV1,38,1576,52.29400009,38.45112809,9/8/16,Russian River Valley,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2016,Richness,Sonoma,97,81.38461538,,122
49,RRV3_2016,24.425,3.4625,5.7725,RRV3,56,1400,54.69600023,38.3440408,9/14/16,Russian River Valley,Ultisols,Fluvaquentic Haploxerolls,fine-loamy,Isomesic,2016,Richness,Sonoma,82,81.38461538,,107
22,CRN1_2016,23.475,3.5475,4.41,CRN1,13,1400,28.49300104,38.22539588,9/6/16,Los Carneros,Vertisols,Chromic Pelloxererts,fine,Thermic,2016,Richness,Sonoma,76,81.38461538,,101
73,SNC2_2016,23.525,3.4625,4.6325,SNC2,63,1498,36.87699986,38.23837937,8/31/16,Sonoma,Vertisols,Aridic Haploxererts,fine,Thermic,2016,Richness,Sonoma,67,81.38461538,,92
28,OR1_2016,24.95,3.62,4.39,OR1,94,1335,175.855999,45.2940985,9/16/16,Yamhill-Carlton,Alfisols,Ultic Haploxeralfs,fine,Mesic,2016,Richness,Willamette Valley,168,81.38461538,c,193
19,AV2_2017,23.575,3.8225,4.235,AV2,86,1422,143.4100013,39.13601028,9/25/17,Mendocino,Alfisols,Ultic Haploxeralfs,fine-loamy,Thermic,2017,Richness,Mendocino,67,76.86666667,a,92
16,AV1_2017,23.35,3.6075,4.595,AV1,479,1711,144.5590001,39.0179608,9/12/17,Mendocino,Alfisols,Ultic Haploxeralfs,fine-loamy,Thermic,2017,Richness,Mendocino,53,76.86666667,,78
10,AS2_2017,22.975,3.61,5.26,AS2,180,1846,27.7480008,36.35431348,8/30/17,Arroyo Seco,Mollisols,Typic Argixerolls,fine-loamy,Thermic,2017,Richness,Monterey,78,76.86666667,ab,103
4,AS1_2017,23.15,3.585,6.0225,AS1,127,1684,20.8210007,36.34518808,8/30/17,Arroyo Seco,Mollisols,Typic Argixerolls,fine-loamy,Thermic,2017,Richness,Monterey,63,76.86666667,,88
82,SRH1_2017,22.55,3.5975,5.125,SRH1,159,1589,34.65800095,34.60883107,9/8/17,Santa Rita Hills,Mollisols,Pachic Ultic Haploxerolls,clayey-skeletal,Thermic,2017,Richness,Santa Barbara,91,76.86666667,a,116
64,SMV2_2017,23.175,3.6125,4.9425,SMV2,150,1821,47.49800014,34.88541101,9/4/17,Santa Maria Valley,Mollisols,Cumulic Haploxerolls,coarse-loamy,Thermic,2017,Richness,Santa Barbara,56,76.86666667,,81
58,SMV1_2017,23.775,3.7075,5.165,SMV1,203,1705,52.10199928,34.86328801,9/4/17,Santa Maria Valley,Alfisols,Mollic Haploxeralfs,fine-loamy,Thermic,2017,Richness,Santa Barbara,46,76.86666667,,71
70,SNC1_2017,26.45,3.5925,4.1925,SNC1,203,1670,156.6319936,38.67871839,9/6/17,Sonoma Coast,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2017,Richness,Sonoma,92,76.86666667,a,117
52,RRV3_2017,22.3,3.5175,4.8175,RRV3,56,1497,131.7949996,38.3440408,9/13/17,Russian River Valley,Ultisols,Fluvaquentic Haploxerolls,fine-loamy,Isomesic,2017,Richness,Sonoma,88,76.86666667,,113
40,RRV1_2017,25.175,3.5525,4.13,RRV1,38,1707,165.0179932,38.45112809,9/6/17,Russian River Valley,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2017,Richness,Sonoma,78,76.86666667,,103
46,RRV2_2017,26.8,3.6375,3.7,RRV2,167,1681,166.8640036,38.43342304,9/5/17,Russian River Valley,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2017,Richness,Sonoma,76,76.86666667,,101
25,CRN1_2017,25.2,3.725,4.9425,CRN1,13,1472,76.67000282,38.22539588,8/31/17,Los Carneros,Vertisols,Chromic Pelloxererts,fine,Thermic,2017,Richness,Sonoma,71,76.86666667,,96
76,SNC2_2017,23.425,3.4275,5.5175,SNC2,63,1617,81.26300049,38.23837937,8/31/17,Sonoma,Vertisols,Aridic Haploxererts,fine,Thermic,2017,Richness,Sonoma,61,76.86666667,,86
31,OR1_2017,23.325,3.6025,4.7175,OR1,94,1297,284.7319956,45.2940985,10/4/17,Yamhill-Carlton,Alfisols,Ultic Haploxeralfs,fine,Mesic,2017,Richness,Willamette Valley,118,76.86666667,b,143
34,OR2_2017,24.175,3.4525,4.9525,OR2,134,1245,262.4350047,45.02917405,10/4/17,Eola-Amity Hills,Mollisols,Aquultic Haplexerolls,very-fine,Mesic,2017,Richness,Willamette Valley,115,76.86666667,,140